Ward,Poll,Poll Name,Contest Title,Candidate Name,Total
6,8,6-8 Riverside Secondary School,MAYOR,Tom HENSEL,8
6,9,6-9 WFCU Centre,MAYOR,Drew DILKENS,252
6,9,6-9 WFCU Centre,MAYOR,Ernie LAMONT,13
6,9,6-9 WFCU Centre,MAYOR,Franz (Frank) DYCK,5
6,9,6-9 WFCU Centre,MAYOR,Matt MARCHAND,131
6,9,6-9 WFCU Centre,MAYOR,Tom HENSEL,3
6,10,6-10 Sunrise Assisted Living,MAYOR,Drew DILKENS,10
6,10,6-10 Sunrise Assisted Living,MAYOR,Ernie LAMONT,1
6,10,6-10 Sunrise Assisted Living,MAYOR,Franz (Frank) DYCK,0
6,10,6-10 Sunrise Assisted Living,MAYOR,Matt MARCHAND,1
6,10,6-10 Sunrise Assisted Living,MAYOR,Tom HENSEL,0
6,11,6-11 Amica Mature Lifestyles Inc.,MAYOR,Drew DILKENS,84
6,11,6-11 Amica Mature Lifestyles Inc.,MAYOR,Ernie LAMONT,1
6,11,6-11 Amica Mature Lifestyles Inc.,MAYOR,Franz (Frank) DYCK,1
6,11,6-11 Amica Mature Lifestyles Inc.,MAYOR,Matt MARCHAND,17
6,11,6-11 Amica Mature Lifestyles Inc.,MAYOR,Tom HENSEL,2
7,1,7-1 Lilly Kazzilly’s Crab Shack & Grill,MAYOR,Drew DILKENS,321
7,1,7-1 Lilly Kazzilly’s Crab Shack & Grill,MAYOR,Ernie LAMONT,6
7,1,7-1 Lilly Kazzilly’s Crab Shack & Grill,MAYOR,Franz (Frank) DYCK,6
